,R,date_as_date,Stringency_index_in_Israel,total_intubated,number_kashim,daily_deaths,number_kashim_smooth,total_intubated_smooth,daily_deaths_smooth,delta_deaths_raw1,delta_deaths_from_smoothed_1day,delta_deaths_from_smoothed_1week
114,1.5,2020-06-23,75.0,26,40,2.0,43.285714285714285,27.571428571428573,2.0,1.0,0.2857142857142858,1.2857142857142856
115,1.5,2020-06-24,75.0,27,45,3.0,43.142857142857146,26.714285714285715,2.2857142857142856,1.0,0.2857142857142856,1.5714285714285712
116,1.51,2020-06-25,75.0,28,44,4.0,42.285714285714285,25.714285714285715,2.5714285714285716,1.0,0.28571428571428603,2.1428571428571432
117,1.44,2020-06-26,75.0,26,45,3.0,42.42857142857143,25.0,2.4285714285714284,-1.0,-0.14285714285714324,1.857142857142857
118,1.43,2020-06-27,75.0,22,40,3.0,44.714285714285715,24.714285714285715,2.2857142857142856,0.0,-0.1428571428571428,1.5714285714285712
119,1.36,2020-06-28,75.0,22,39,2.0,46.714285714285715,24.285714285714285,2.2857142857142856,-1.0,0.0,1.1428571428571428
120,1.3,2020-06-29,75.0,24,44,0.0,50.714285714285715,24.285714285714285,1.8571428571428572,-2.0,-0.4285714285714284,0.14285714285714302
121,1.29,2020-06-30,69.44,24,56,1.0,56.142857142857146,24.714285714285715,1.8571428571428572,1.0,0.0,-0.1428571428571428
122,1.28,2020-07-01,69.44,24,59,3.0,62.57142857142857,26.285714285714285,2.142857142857143,2.0,0.2857142857142856,-0.1428571428571428
123,1.28,2020-07-02,69.44,28,72,1.0,70.42857142857143,27.714285714285715,2.142857142857143,-2.0,0.0,-0.4285714285714288
124,1.28,2020-07-03,69.44,29,83,3.0,77.0,29.142857142857142,3.2857142857142856,2.0,1.1428571428571428,0.8571428571428572
125,1.23,2020-07-04,69.44,33,85,5.0,82.42857142857143,30.714285714285715,3.857142857142857,2.0,0.5714285714285716,1.5714285714285716
126,1.23,2020-07-05,69.44,32,94,2.0,90.14285714285714,32.714285714285715,4.142857142857143,-3.0,0.28571428571428603,1.8571428571428577
127,1.21,2020-07-06,75.93,34,90,8.0,97.85714285714286,34.57142857142857,4.714285714285714,6.0,0.5714285714285712,2.857142857142857
128,1.18,2020-07-07,75.93,35,94,5.0,104.57142857142857,36.285714285714285,4.857142857142857,-3.0,0.14285714285714235,2.9999999999999996
129,1.17,2020-07-08,75.93,38,113,5.0,111.85714285714286,38.142857142857146,4.857142857142857,0.0,0.0,2.714285714285714
130,1.12,2020-07-09,75.93,41,126,5.0,120.0,40.285714285714285,5.571428571428571,0.0,0.7142857142857144,3.4285714285714284
131,1.1,2020-07-10,75.93,41,130,4.0,133.42857142857142,43.0,5.0,-1.0,-0.5714285714285712,1.7142857142857144
132,1.11,2020-07-11,75.93,46,136,5.0,147.14285714285714,45.857142857142854,5.285714285714286,1.0,0.2857142857142856,1.4285714285714284
133,1.09,2020-07-12,75.93,47,151,7.0,160.85714285714286,48.714285714285715,5.428571428571429,2.0,0.14285714285714324,1.2857142857142856
134,1.07,2020-07-13,68.52,53,184,4.0,172.71428571428572,51.285714285714285,6.0,-3.0,0.5714285714285712,1.2857142857142856
135,1.08,2020-07-14,68.52,55,190,7.0,185.42857142857142,53.714285714285715,7.142857142857143,3.0,1.1428571428571432,2.2857142857142865
136,1.04,2020-07-15,68.52,58,209,6.0,199.57142857142858,55.142857142857146,7.571428571428571,-1.0,0.42857142857142794,2.7142857142857144
137,1.03,2020-07-16,68.52,59,209,9.0,216.57142857142858,58.857142857142854,8.0,3.0,0.4285714285714288,2.428571428571429
138,1.04,2020-07-17,68.52,58,219,12.0,228.0,62.42857142857143,9.142857142857142,3.0,1.1428571428571423,4.142857142857142
139,1.04,2020-07-18,54.63,56,235,8.0,237.42857142857142,66.0,9.428571428571429,-4.0,0.2857142857142865,4.142857142857143
140,1.02,2020-07-19,54.63,73,270,10.0,248.14285714285714,69.0,9.428571428571429,2.0,0.0,4.0
141,1.0,2020-07-20,54.63,78,264,12.0,262.57142857142856,72.42857142857143,10.428571428571429,2.0,1.0,4.428571428571429
142,0.96,2020-07-21,54.63,80,256,9.0,278.2857142857143,76.42857142857143,9.857142857142858,-3.0,-0.5714285714285712,2.7142857142857144
